area,size,City
松山區,9.2878,Taipei
信義區,11.2077,Taipei
大安區,11.3614,Taipei
中山區,13.6821,Taipei
中正區,7.6071,Taipei
大同區,5.6815,Taipei
萬華區,8.8522,Taipei
文山區,31.509,Taipei
南港區,21.8424,Taipei
內湖區,31.5787,Taipei
士林區,62.3682,Taipei
北投區,56.8216,Taipei
板橋區,23.1373,New Taipei
三重區,16.317,New Taipei
中和區,20.144,New Taipei
永和區,5.7138,New Taipei
新莊區,19.7383,New Taipei
新店區,120.2255,New Taipei
樹林區,33.1288,New Taipei
鶯歌區,21.1248,New Taipei
三峽區,191.4508,New Taipei
淡水區,70.6565,New Taipei
汐止區,71.2354,New Taipei
瑞芳區,70.7336,New Taipei
土城區,29.5578,New Taipei
蘆洲區,7.4351,New Taipei
五股區,34.8632,New Taipei
泰山區,19.1603,New Taipei
林口區,54.1519,New Taipei
深坑區,20.5787,New Taipei
石碇區,144.3498,New Taipei
坪林區,170.835,New Taipei
三芝區,65.9909,New Taipei
石門區,51.2645,New Taipei
八里區,39.4933,New Taipei
平溪區,71.3382,New Taipei
雙溪區,146.2484,New Taipei
貢寮區,99.9734,New Taipei
金山區,49.2132,New Taipei
萬里區,63.3766,New Taipei
烏來區,321.1306,New Taipei
中正區,10.2118,Keelung
七堵區,56.2659,Keelung
暖暖區,22.8283,Keelung
仁愛區,4.2335,Keelung
中山區,10.5238,Keelung
安樂區,18.025,Keelung
信義區,10.6706,Keelung
桃園區,34.8046,Taoyuan
中壢區,76.52,Taoyuan
大溪區,105.1206,Taoyuan
楊梅區,89.1229,Taoyuan
蘆竹區,75.5025,Taoyuan
大園區,87.3925,Taoyuan
龜山區,72.0177,Taoyuan
八德區,33.7111,Taoyuan
龍潭區,75.2341,Taoyuan
平鎮區,47.7532,Taoyuan
新屋區,85.0166,Taoyuan
觀音區,87.9807,Taoyuan
復興區,350.7775,Taoyuan
中區,0.8803,Taichung
東區,9.2855,Taichung
南區,6.8101,Taichung
西區,5.7042,Taichung
北區,6.9376,Taichung
西屯區,39.8467,Taichung
南屯區,31.2578,Taichung
北屯區,62.7034,Taichung
豐原區,41.1845,Taichung
東勢區,117.4065,Taichung
大甲區,58.5192,Taichung
清水區,64.1709,Taichung
沙鹿區,40.4604,Taichung
梧棲區,16.6049,Taichung
后里區,58.9439,Taichung
神岡區,35.0445,Taichung
潭子區,25.8497,Taichung
大雅區,32.4109,Taichung
新社區,68.8874,Taichung
石岡區,18.2105,Taichung
外埔區,42.4099,Taichung
大安區,27.4045,Taichung
烏日區,43.4032,Taichung
大肚區,37.0024,Taichung
龍井區,38.0377,Taichung
霧峰區,98.0779,Taichung
太平區,120.7473,Taichung
大里區,28.8758,Taichung
和平區,"1,037.82",Taichung
新營區,38.5386,Tainan
鹽水區,52.2455,Tainan
白河區,126.4046,Tainan
柳營區,61.2929,Tainan
後壁區,72.2189,Tainan
東山區,124.9178,Tainan
麻豆區,53.9744,Tainan
下營區,33.5291,Tainan
六甲區,67.5471,Tainan
官田區,70.7953,Tainan
大內區,70.3125,Tainan
佳里區,38.9422,Tainan
學甲區,53.9919,Tainan
西港區,33.7666,Tainan
七股區,110.1492,Tainan
將軍區,41.9796,Tainan
北門區,44.1003,Tainan
新化區,62.0579,Tainan
善化區,55.3097,Tainan
新市區,47.8096,Tainan
安定區,31.27,Tainan
山上區,27.878,Tainan
玉井區,76.3662,Tainan
楠西區,109.6316,Tainan
南化區,171.5198,Tainan
左鎮區,74.9025,Tainan
仁德區,50.7664,Tainan
歸仁區,55.7913,Tainan
關廟區,53.6413,Tainan
