city,lat,lng,elevation
台北市,25.033,121.5654,21.0
新北市,25.0169,121.4628,15.0
基隆市,25.1296,121.7392,15.0
桃園市,24.9934,121.3009,113.0
新竹市,24.8039,120.9647,30.0
新竹縣,24.8387,121.006,24.0
苗栗縣,24.4893,120.9417,720.0
台中市,24.1477,120.6736,91.0
彰化縣,24.0685,120.5575,82.0
南投縣,23.9609,120.9719,446.0
雲林縣,23.7092,120.4313,28.0
嘉義市,23.4801,120.4491,39.0
嘉義縣,23.4518,120.2555,3.0
台南市,23.0,120.2,12.0
高雄市,22.6273,120.3014,17.0
屏東縣,22.5519,120.5485,17.0
宜蘭縣,24.7021,121.7378,14.0
花蓮縣,23.9872,121.6015,15.0
台東縣,22.7554,121.14,22.0
澎湖縣,23.5715,119.5794,20.0
