city,lat,lng,road_complexity
Taipei,25.07795,121.501992,0.4945
Taipei,25.103965,121.452605,0.3676
Taipei,25.11024,121.599093,0.5503
Taipei,25.078756,121.477168,0.7858
Taipei,25.128036,121.567745,0.5195
Taipei,25.091982,121.501519,0.5303
Taipei,25.059671,121.574838,0.5911
Taipei,25.010206,121.511945,0.5369
Taipei,25.111819,121.563554,0.5089
Taipei,25.039637,121.501688,0.5185
Taipei,25.019899,121.51469,0.4648
Taipei,25.108078,121.573139,0.6827
Taipei,25.130825,121.596542,0.4782
Taipei,25.127187,121.586787,0.6412
Taipei,25.021855,121.557154,0.4098
Taipei,25.038298,121.499494,0.4518
Taipei,25.107485,121.479842,0.4976
Taipei,25.119784,121.504228,0.6058
Taipei,25.087616,121.475708,0.6841
Taipei,25.14619,121.532944,0.7424
Taipei,25.065857,121.486909,0.4553
Taipei,25.058283,121.569836,0.5893
Taipei,25.021362,121.54427,0.5703
Taipei,25.039249,121.531132,0.7364
Taipei,25.040666,121.537913,0.5833
Taipei,25.092148,121.531909,0.6893
Taipei,25.043397,121.509022,0.5007
Taipei,25.042309,121.495857,0.5871
Taipei,25.119092,121.530903,0.4766
Taipei,25.076041,121.508131,0.5523
Taipei,25.120816,121.551077,0.4101
Taipei,25.124762,121.54422,0.6423
Taipei,25.039976,121.487691,0.6557
Taipei,25.059188,121.466382,0.6682
Taipei,25.013627,121.467628,0.7565
Taipei,25.039445,121.468912,0.7881
Taipei,25.121085,121.542447,0.6067
Taipei,25.132071,121.57613,0.5035
Taipei,25.13332,121.575413,0.6474
Taipei,25.120277,121.564729,0.4684
Taipei,25.100396,121.48525,0.6262
Taipei,25.100574,121.482113,0.5109
Taipei,25.011928,121.588932,0.8237
Taipei,25.025912,121.477614,0.627
Taipei,25.057522,121.515249,0.5997
Taipei,25.101767,121.59803,0.6479
Taipei,25.01867,121.528377,0.4327
Taipei,25.054727,121.500822,0.6175
Taipei,25.120961,121.518528,0.6859
Taipei,25.069821,121.475594,0.3667
Taipei,25.092803,121.467714,0.6197
Taipei,25.045182,121.510302,0.4205
Taipei,25.015861,121.524246,0.6732
Taipei,25.069925,121.542482,0.5219
Taipei,25.130535,121.486166,0.4289
Taipei,25.141417,121.521989,0.6263
Taipei,25.094289,121.568654,0.6046
Taipei,25.035868,121.546021,0.6062
Taipei,25.073436,121.577713,0.7371
Taipei,25.067755,121.540415,0.5227
Taipei,25.093513,121.523484,0.7129
Taipei,25.015682,121.5181,0.622
Taipei,25.013176,121.457949,0.6084
Taipei,25.091008,121.531243,0.5075
Taipei,25.014575,121.582852,0.711
Taipei,25.043344,121.462952,0.5164
Taipei,25.09157,121.525438,0.398
Taipei,25.148828,121.466492,0.9
Taipei,25.043458,121.474469,0.5663
Taipei,25.117505,121.599867,0.8005
Taipei,25.062749,121.497658,0.3979
Taipei,25.035894,121.576787,0.5888
Taipei,25.102028,121.456339,0.6535
Taipei,25.079937,121.558671,0.5136
Taipei,25.07257,121.458068,0.4777
Taipei,25.059774,121.586105,0.5449
Taipei,25.048128,121.459139,0.6812
Taipei,25.052551,121.540994,0.3792
Taipei,25.096551,121.491785,0.4374
Taipei,25.120255,121.53353,0.634
Taipei,25.035669,121.509575,0.6733
Taipei,25.063815,121.522115,0.7991
Taipei,25.011752,121.529138,0.5511
Taipei,25.104454,121.553036,0.7089
Taipei,25.015031,121.592422,0.7246
Taipei,25.029045,121.542465,0.5146
Taipei,25.02405,121.521796,0.5418
Taipei,25.039095,121.580777,0.6948
Taipei,25.131316,121.529513,0.619
Taipei,25.050543,121.585826,0.4631
Taipei,25.055285,121.476203,0.5754
Taipei,25.075963,121.516635,0.547
Taipei,25.112542,121.582048,0.6593
Taipei,25.039841,121.459304,0.7563
Taipei,25.069747,121.466351,0.4879
Taipei,25.117319,121.50396,0.6873
Taipei,25.016284,121.55748,0.843
Taipei,25.142202,121.572754,0.5854
Taipei,25.085772,121.519377,0.6579
Taipei,25.106031,121.596414,0.5896
Taipei,25.038801,121.506665,0.4721
Taipei,25.096217,121.5077,0.5162
Taipei,25.011781,121.504995,0.7185
Taipei,25.081678,121.46997,0.6088
Taipei,25.095586,121.497293,0.4601
Taipei,25.116272,121.498359,0.4785
Taipei,25.099204,121.481295,0.5749
Taipei,25.108978,121.514585,0.7488
Taipei,25.017098,121.505233,0.5547
Taipei,25.020658,121.572489,0.6295
Taipei,25.02829,121.559215,0.6522
Taipei,25.083005,121.5297,0.4718
